captured_at,state,event_id,event_name,kickoff,away,home,away_spread,away_spread_odds,home_spread,home_spread_odds,total,over_odds,under_odds,away_ml,home_ml
2026-09-26T18:15:26Z,IL,36094877,Idaho State @ Southern Utah,2026-09-27T00:01:00.000Z,Idaho State,Southern Utah,-8.5,-110,8.5,-110,60.5,-110,-110,-325,250
2026-09-26T18:15:26Z,IL,36073984,Oregon State @ UTEP,2026-09-27T01:00:00.000Z,Oregon State,UTEP,-11.5,-110,11.5,-110,56.5,-106,-114,-465,350
2026-09-26T18:15:26Z,IL,36073917,Massachusetts @ Sacramento State,2026-09-27T01:00:00.000Z,Massachusetts,Sacramento State,-4.5,-110,4.5,-110,48.5,-115,-105,-194,160
2026-09-26T18:15:26Z,IL,36073983,Missouri State @ SMU,2026-09-27T01:00:00.000Z,Missouri State,SMU,32.5,-115,-32.5,-105,60.5,-110,-110,3000,-10000
2026-09-26T18:15:26Z,IL,36073985,Rice @ Fresno State,2026-09-27T02:00:00.000Z,Rice,Fresno State,13.5,-122,-13.5,100,43.5,-110,-110,430,-600
2026-09-26T18:15:26Z,IL,36103111,Montana @ UC Davis,2026-09-27T02:01:00.000Z,Montana,UC Davis,3.5,-115,-3.5,-105,61.5,-110,-110,130,-160
2026-09-26T18:15:26Z,IL,36073993,Georgia Tech @ Stanford,2026-09-27T02:30:00.000Z,Georgia Tech,Stanford,-2.5,-124,2.5,102,48.5,-106,-114,-144,120
2026-09-26T18:15:26Z,IL,36073900,Air Force @ Nevada,2026-09-27T02:30:00.000Z,Air Force,Nevada,-5.5,-114,5.5,-106,50.5,-112,-108,-230,188
2026-09-26T18:15:26Z,IL,36094870,Northern Arizona @ Montana State,2026-09-27T02:31:00.000Z,Northern Arizona,Montana State,21.5,-106,-21.5,-114,56.5,-114,-106,980,-2200
2026-09-26T18:15:26Z,IL,36073882,Minnesota @ Washington,2026-09-27T03:00:00.000Z,Minnesota,Washington,10.5,-115,-10.5,-105,45.5,-115,-105,300,-385
