player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
James Mitchell,77885,TE,DET,13,100.0,1,11,0,24,2,2,0,28,14.0
Simi Fehoko,84424,WR,LAC,2,50.0,1,27,0,9,1,2,1,9,9.0
Khalil Dorsey,27819,CB,DET,1,100.0,1,11,0,31,1,1,0,31,31.0
Cole Fotheringham,84070,TE,LV,2,100.0,0,23,0,6,1,1,0,6,6.0
Royce Freeman,45747,HB,LA,9,100.0,1,26,0,13,1,1,0,13,13.0
Justin Herbert,28237,QB,LAC,13,100.0,1,27,3,10,1,1,0,10,10.0
Donovan Smith,9467,T,KC,12,100.0,0,16,0,0,1,1,0,0,0.0
Mason Kinsey,115664,WR,TEN,4,100.0,0,31,0,6,1,1,0,6,6.0
John FitzPatrick,83974,TE,ATL,2,100.0,1,2,0,12,1,1,0,12,12.0
Jeffery Simmons,43742,DI,TEN,2,100.0,1,31,0,2,1,1,1,2,2.0
D'Wayne Eskridge,29573,WR,SEA,1,0.0,0,29,0,0,0,1,0,0,
Reggie Gilliam,40951,FB,BUF,14,100.0,0,4,0,3,1,1,0,3,3.0
Albert Okwuegbunam,41933,TE,PHI,4,0.0,0,24,0,0,0,1,0,0,
Desmond Ridder,55086,QB,ATL,15,100.0,0,2,6,-6,1,1,0,-6,-6.0
Tucker Fisk,52286,TE,ATL,6,100.0,1,2,0,9,1,1,0,9,9.0
Geno Smith,7820,QB,SEA,15,100.0,0,29,4,-2,1,1,0,-2,-2.0
C.J. Stroud,129759,QB,HST,15,100.0,0,13,8,0,1,1,0,0,0.0
Jesper Horsted,91465,TE,LV,3,100.0,0,23,0,4,1,1,0,4,4.0
Erik Ezukanma,78148,WR,MIA,2,0.0,0,17,0,0,0,1,0,0,
Malcolm Rodriguez,60731,LB,DET,4,100.0,1,11,0,6,1,1,0,6,6.0
Jake Funk,45835,HB,IND,1,100.0,1,14,0,12,1,1,0,12,12.0
Gunner Olszewski,95015,WR,NYG,6,100.0,0,21,1,0,1,1,0,0,0.0
Dan Skipper,12307,G,DET,10,100.0,0,11,0,4,1,1,0,4,4.0
Giovanni Ricci,13756,TE,CAR,2,100.0,0,5,0,2,1,1,0,2,2.0
Trent Taylor,11932,WR,CHI,13,0.0,0,6,0,0,0,1,0,0,
Evan Hull,97302,HB,IND,1,100.0,0,14,0,6,1,1,0,6,6.0
Travis Homer,45859,HB,CHI,2,0.0,0,6,0,0,0,1,0,0,
Bam Knight,97432,HB,DET,2,100.0,0,11,0,8,1,1,0,8,8.0
Sam Howell,97599,QB,WAS,17,100.0,0,32,3,4,1,1,0,4,4.0
Ross Dwelley,20994,TE,SF,10,100.0,1,28,0,12,1,1,0,12,12.0
Devine Ozigbo,45903,HB,DET,1,100.0,0,11,0,8,1,1,0,8,8.0
James Robinson,22425,HB,GB,1,100.0,0,12,0,-2,1,1,0,-2,-2.0
Kwamie Lassiter II,23226,WR,CIN,1,100.0,0,7,0,2,1,1,0,2,2.0
Jonathan Williams,10790,HB,WAS,1,0.0,0,32,0,0,0,1,0,0,
Nick Vannett,10728,TE,LAC,8,100.0,1,27,0,3,1,1,0,3,3.0
Brandin Echols,98900,CB,NYJ,1,100.0,1,22,0,18,1,1,0,18,18.0
Ryan Tannehill,7014,QB,TEN,9,0.0,0,31,2,0,0,1,0,0,
Nick Muse,61079,TE,MIN,1,100.0,1,18,0,22,1,1,0,22,22.0
Chris Evans,27303,HB,CIN,7,100.0,0,7,0,-1,1,1,0,-1,-1.0
Jake Browning,46401,QB,CIN,9,100.0,0,7,3,-7,1,1,0,-7,-7.0
Ben Bredeson,27305,G,NYG,16,100.0,0,21,0,0,1,1,0,0,0.0
Juwann Winfree,38275,WR,IND,3,0.0,0,14,0,0,0,1,0,0,
Collin Johnson,47808,WR,CHI,3,100.0,1,6,0,11,1,1,0,11,11.0
Shedrick Jackson,84136,WR,CIN,1,0.0,0,7,0,0,0,1,0,0,
Cody Thompson,48152,WR,SEA,6,100.0,0,29,0,10,1,1,0,10,10.0
Rashaad Penny,27414,HB,PHI,2,100.0,0,24,0,5,1,1,0,5,5.0
Mark Glowinski,9567,G,NYG,12,0.0,0,21,0,0,0,1,0,0,
