player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
George Hart III,146269,HB,ARIZONA ST,1,1,0,110,0,3,3,1,1,2,0,3,3.0
Nick Haberer,146532,P,WASH STATE,1,1,0,341,0,-12,0,0,0,1,0,-12,-12.0
Jalen Virgil,41991,WR,APP STATE,2,1,0,108,0,-1,75,3,5,4,0,-1,-1.0
Jacob Huesman,41939,QB,APP STATE,1,1,0,108,0,-4,0,0,0,1,0,-4,-4.0
Brock Bowers,146715,TE,GEORGIA,3,1,0,173,0,1,230,19,25,20,0,1,1.0
Adam Cofield,30557,HB,W KENTUCKY,2,1,0,346,0,1,58,5,5,6,0,1,1.0
Brian Thomas Jr.,146760,WR,LSU,1,1,0,211,0,1,15,2,3,3,0,1,1.0
Drew Estrada,109686,WR,BAYLOR,2,1,0,118,0,1,47,8,10,9,0,1,1.0
Jerreth Sterns,102597,WR,W KENTUCKY,2,1,1,346,0,2,363,23,29,24,0,2,2.0
Leon Franklin,101639,HB,MICHIGAN,1,1,0,222,0,5,0,0,0,1,0,5,5.0
Tre Tucker,101106,WR,CINCINNATI,2,1,0,138,1,3,29,3,6,4,0,3,3.0
Jacob Cowing,100894,WR,UTEP,1,1,0,330,0,3,24,2,7,3,0,3,3.0
Ricky Pearsall,100660,WR,ARIZONA ST,1,1,0,110,0,1,65,4,6,5,0,1,1.0
De'Corian Clark,100892,WR,UTSA,2,1,0,331,0,2,131,10,15,11,0,2,2.0
Keshawn King,99612,HB,VA TECH,1,1,0,337,0,1,0,0,0,1,0,1,1.0
Ja'Varrius Johnson,99223,WR,AUBURN,1,1,1,115,0,2,20,1,2,2,0,2,2.0
Amari Johnson,98551,WR,UCF,1,1,0,323,0,4,0,0,0,1,0,4,4.0
Hayden Wolff,98362,QB,DOMINION,1,1,0,263,0,-2,0,0,0,1,0,-2,-2.0
Lachlan Wilson,123268,P,TULSA,1,1,0,320,0,-1,0,0,0,1,0,-1,-1.0
Peter Moore,123358,P,VA TECH,1,1,1,337,0,8,0,0,0,1,0,8,8.0
Cornelius Johnson,97996,WR,MICHIGAN,2,1,1,222,0,17,33,3,4,4,0,17,17.0
Garrett Greene,123420,QB,W VIRGINIA,1,1,0,343,1,-3,0,0,0,1,0,-3,-3.0
Parker Navarro,123758,QB,UCF,1,1,0,323,1,3,0,0,0,1,0,3,3.0
Marcus Carroll,123849,HB,GA STATE,1,1,1,175,0,4,0,0,0,1,0,4,4.0
Jamari Thrash,97399,WR,GA STATE,1,1,0,175,0,5,5,1,2,2,0,5,5.0
Devyn Ford,97305,HB,PENN STATE,1,1,0,266,0,4,0,0,0,1,0,4,4.0
Jalen Moreno-Cropper,97273,WR,FRESNO ST,1,1,1,169,0,16,72,9,11,10,0,16,16.0
Taylor Morin,97213,WR,WAKE,2,1,1,339,0,1,141,8,13,9,0,1,1.0
Reese White,97197,HB,COAST CAR,1,1,0,141,0,-1,0,0,0,1,0,-1,-1.0
Skyy Moore,97116,WR,W MICHIGAN,1,1,1,347,0,10,36,4,8,4,0,10,10.0
Micah Kelly,97099,HB,TOLEDO,1,1,1,316,0,11,0,0,0,1,0,11,11.0
Anthony Gould,97078,WR,OREGON ST,1,1,1,265,0,10,17,2,3,3,0,10,10.0
Josh Kelly,97061,WR,FRESNO ST,1,1,0,169,0,0,10,2,7,3,0,0,0.0
Justin Garrett,84486,WR,UTEP,1,1,1,330,0,12,26,1,2,2,0,12,12.0
Braden Lenzy,84348,WR,NOTRE DAME,1,1,0,258,0,0,60,7,14,8,0,0,0.0
Cornelius McCoy,84196,WR,GA STATE,1,1,0,175,0,1,19,1,3,2,0,1,1.0
Brant Kuithe,84071,TE,UTAH,2,1,1,328,0,7,89,7,9,8,0,7,7.0
Jordan Byrd,83748,HB,S DIEGO ST,2,1,0,284,0,1,-1,2,3,3,0,1,1.0
Demetris Robertson,38547,WR,AUBURN,1,1,0,115,0,-5,15,2,2,3,0,-5,-5.0
Brandon Walters,83626,HB,ARMY,1,1,1,114,0,15,23,2,3,3,0,15,15.0
Jack Colletto,83540,HB,OREGON ST,1,1,1,265,0,8,0,0,0,1,0,8,8.0
A.J. Henning,129580,WR,MICHIGAN,2,1,1,222,0,29,1,1,3,2,0,29,29.0
Spencer Petras,82136,QB,IOWA,2,1,0,192,1,0,0,0,0,1,0,0,0.0
Joey Gatewood,82088,QB,UCF,1,1,0,323,0,-1,0,0,0,1,0,-1,-1.0
C.J. Stroud,129759,QB,OHIO STATE,1,1,1,260,0,10,0,0,0,0,0,10,10.0
Daniel Faalele,81734,T,MINNESOTA,1,1,1,225,0,2,0,0,0,1,1,2,2.0
Chimere Dike,129918,WR,WISCONSIN,1,1,0,349,0,-3,30,1,1,2,0,-3,-3.0
Donny Marcus,130340,HB,BALL ST,1,1,0,117,0,3,0,0,1,1,0,3,3.0
Luke Floriea,130491,WR,KENT STATE,2,1,0,201,0,-3,11,2,2,3,0,-3,-3.0
Malik Knowles,78141,WR,KANSAS ST,1,1,0,199,0,4,42,3,3,4,0,4,4.0
JuanCarlos Santana,78056,WR,TULSA,1,1,0,320,0,6,75,6,9,7,0,6,6.0
Joel Wilson,77943,TE,C MICHIGAN,1,1,0,134,0,0,41,3,3,3,0,0,0.0
DeMeer Blankumsee,130613,WR,TOLEDO,1,1,1,316,0,15,23,3,4,4,0,15,15.0
Michael Williams,131635,P,UTAH,2,1,0,328,1,0,0,0,0,1,0,0,0.0
Bryson Barnes,131845,QB,UTAH,1,1,1,328,0,10,0,0,0,1,0,10,10.0
Drew Zaubi,77616,QB,W KENTUCKY,1,1,0,346,1,0,0,0,0,1,0,0,0.0
Travell Harris,61810,WR,WASH STATE,1,1,1,341,0,5,13,3,6,4,1,5,5.0
