player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Fred Lewis,183462,LB,UTSA,1,0,0,331,0,0,0,0,0
Jayden Hill,183476,S,N TEXAS,1,3,0,251,0,0,1,0,3
Jaedon Langley,183477,DI,N TEXAS,1,0,0,251,0,0,0,0,1
Joe Barna,183498,ED,ILLINOIS,1,0,0,187,1,0,0,0,1
Daniel Brown,183500,ED,ILLINOIS,1,0,0,187,1,0,0,0,1
Caleb Benning,183549,S,NEBRASKA,1,0,0,238,0,0,0,0,1
Donovan Jones,183564,S,NEBRASKA,1,1,0,238,0,0,0,0,2
Willis McGahee IV,183570,ED,NEBRASKA,1,2,0,238,1,0,0,0,3
Jordan Ochoa,183574,ED,NEBRASKA,1,0,0,238,0,0,0,0,0
Amare Sanders,183583,CB,NEBRASKA,1,0,0,238,0,0,0,0,0
Vincent Shavers Jr.,183585,LB,NEBRASKA,1,0,1,238,0,0,0,1,5
Xavier Gilliam,183605,DI,PENN STATE,1,0,0,266,0,0,0,0,0
Jaylen Harvey,183607,ED,PENN STATE,1,0,0,266,0,0,0,0,0
Jide Abasiri,183614,DI,USC,1,0,0,326,1,0,0,0,0
Kameryn Crawford,183618,ED,USC,1,0,0,326,0,0,0,0,3
Desman Stephens II,183628,LB,USC,1,1,0,326,0,0,0,0,2
Jeremiah Beasley,183682,LB,MISSOURI,1,0,0,229,0,0,0,0,1
Dom Nichols,183687,ED,MICHIGAN,1,0,1,222,0,0,0,0,1
Eddrick Houston,183699,DI,OHIO STATE,3,0,0,260,1,0,0,0,2
Rodney Bimage Jr.,183737,CB,ARIZONA ST,1,0,0,110,0,0,0,0,0
Martell Hughes,183743,LB,ARIZONA ST,1,0,0,110,0,0,0,0,2
Plas Johnson,183744,S,ARIZONA ST,1,0,0,110,0,0,0,0,1
Salesi Manu,183747,DI,ARIZONA ST,1,0,0,110,0,0,0,0,0
Kyan McDonald,183748,S,ARIZONA ST,1,0,0,110,0,0,0,0,2
Albert Smith III,183752,ED,ARIZONA ST,1,0,0,110,0,0,0,0,0
Ephraim Asiata,183758,ED,BYU,1,0,0,128,0,0,0,0,0
Orion Maile-Kaufusi,183777,ED,BYU,1,0,0,128,0,0,0,0,0
Viliami Po'uha,183779,ED,BYU,1,0,0,128,0,0,0,0,0
Tommy Prassas,183780,S,BYU,1,0,0,128,0,0,0,0,2
Danny Saili,183781,DI,ARKANSAS,1,0,0,111,0,0,0,0,0
John Taumoepeau,183783,DI,BYU,1,0,0,128,0,0,0,0,0
Devyn Hidrogo,183825,S,TCU,1,0,0,305,0,0,0,0,2
Travis Jackson,183828,ED,TCU,1,0,0,305,0,0,0,0,1
Julian Knox Sr.,183830,CB,TCU,1,0,0,305,0,0,0,0,0
Kaden McFadden,183833,S,TCU,1,0,0,305,0,0,0,0,1
Devondre McGee,183834,CB,TCU,1,0,0,305,0,0,0,0,0
Israel Boyce,183875,S,W VIRGINIA,1,0,0,343,0,0,0,0,2
Nate Gabriel,183878,DI,W VIRGINIA,1,1,0,343,0,0,0,0,0
Elijah Kinsler,183880,DI,W VIRGINIA,1,0,0,343,0,0,0,0,1
Harper Holloman,184000,ED,W KENTUCKY,2,1,0,346,0,0,0,0,0
Jacari Bennett,184021,ED,BUFFALO,1,0,0,126,0,0,0,1,0
Javon Hammonds,184082,ED,MIAMI OH,2,0,0,221,0,0,0,0,1
Jackson Pons,184084,S,MIAMI OH,2,1,0,221,0,0,0,0,0
Loghan Thomas,184103,ED,NOTRE DAME,1,0,0,258,0,0,0,0,0
Kyngstonn Viliamu-Asa,184105,LB,NOTRE DAME,3,2,0,258,0,0,0,0,8
Bryce Young,184110,ED,NOTRE DAME,3,1,0,258,0,0,0,1,4
Stellan Bowman,184112,LB,OHIO,1,1,0,259,0,0,0,0,1
Joshua Lloyd,184138,ED,W MICHIGAN,1,0,0,347,0,0,0,0,0
Kal-El Pascal,184151,S,BOWL GREEN,1,0,0,122,0,0,0,0,4
Frank Cusano,184216,LB,WASH STATE,1,0,0,341,0,0,0,0,1
Jakari Embry,184236,CB,FRESNO ST,1,1,0,169,0,0,0,0,5
Dorrian Smith,184289,CB,GA SOUTHRN,1,0,0,174,0,0,0,0,6
KJ Flowe,184303,CB,JAMES MAD,1,0,0,197,1,0,0,0,2
Jalyn Durgan,184338,ED,S ALABAMA,1,1,0,288,0,0,0,0,0
Amarion Fortenberry,184339,CB,S ALABAMA,1,1,0,288,0,1,0,0,4
Nathan Jennings,184345,DI,S ALABAMA,1,1,0,288,0,0,0,0,1
Ryan Nolan,184356,S,TEXAS ST,1,1,0,314,0,0,0,0,5
Kameron Pearson,184357,S,TEXAS ST,1,0,0,314,0,0,0,0,1
Selman Bridges,184381,CB,ARKANSAS,1,0,0,111,0,0,0,0,0
Charlie Collins,184383,ED,ARKANSAS,1,0,0,111,0,0,0,0,1
Michai Boireau,184418,DI,FLORIDA,1,1,0,163,0,0,0,0,3
Josiah Davis,184420,CB,FLORIDA,1,0,0,163,0,0,0,0,0
Teddy Foster,184421,CB,FLORIDA,1,0,0,163,0,0,0,0,2
Myles Graham,184422,LB,FLORIDA,1,1,0,163,0,1,0,0,2
LJ McCray,184427,ED,FLORIDA,1,1,0,163,0,0,0,0,3
D'Antre Robinson,184430,DI,FLORIDA,1,1,0,163,0,0,0,0,1
Greg Smith,184431,S,FLORIDA,1,0,0,163,0,0,0,0,1
Brien Taylor Jr.,184433,DI,FLORIDA,1,0,0,163,0,0,0,0,0
Ahmad Breaux,184441,DI,LSU,1,0,0,211,0,0,0,0,1
Kolaj Cobbins,184445,ED,LSU,1,0,0,211,1,0,0,0,0
CJ Jackson,184456,ED,LSU,1,0,0,211,0,0,0,0,0
Davhon Keys,184459,LB,LSU,1,2,0,211,0,1,1,0,4
Dominick McKinley,184462,DI,LSU,1,0,0,211,0,0,0,0,0
Gabriel Reliford,184463,ED,LSU,1,0,0,211,0,0,0,0,1
Joel Rogers,184464,S,LSU,1,1,0,211,0,0,0,0,0
Tylen Singleton,184465,LB,LSU,1,1,0,211,0,0,0,0,0
Michael Turner Jr.,184467,CB,LSU,1,0,0,211,0,0,0,0,1
PJ Woodland,184471,CB,LSU,1,1,0,211,0,0,1,0,4
Trajen Greco,184477,S,MISSOURI,1,0,0,229,0,0,0,0,0
Dylan Stewart,184500,ED,S CAROLINA,1,0,0,289,0,0,0,0,3
Kobe Black,184503,CB,TEXAS,2,0,0,311,0,0,0,0,0
Alex January,184510,DI,TEXAS,2,0,0,311,0,0,0,0,0
Colin Simmons,184515,ED,TEXAS,3,3,1,311,6,0,0,2,6
Ty'Anthony Smith,184516,LB,TEXAS,2,0,0,311,0,0,0,0,1
Dontae Carter,184523,S,VANDERBILT,1,0,0,333,0,0,0,0,1
Jeremiah Beaman,184527,DI,ALABAMA,1,0,0,103,0,0,0,0,2
