player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Mike Pennel,9316,DI,KC,17,10,1,16,0,0,0,3,13
Dante Fowler Jr.,9436,ED,WAS,17,5,2,32,4,1,0,11,22
Leonard Williams,9439,DI,SEA,16,10,0,29,15,1,0,11,39
Arik Armstead,9450,ED,JAX,17,2,0,15,5,0,0,2,23
Bud Dupree,9455,ED,LAC,17,4,1,27,5,1,0,6,19
Shaq Thompson,9458,LB,CAR,4,8,0,5,1,0,0,0,28
Mario Edwards Jr.,9468,DI,HST,13,9,0,13,5,0,0,4,16
Preston Smith,9471,ED,PIT,17,10,0,25,1,0,0,5,15
Eddie Goldman,9472,DI,ATL,17,10,0,2,2,0,0,1,8
Eric Kendricks,9478,LB,DAL,15,40,3,9,1,2,0,3,88
Denzel Perryman,9481,LB,LAC,11,10,0,27,2,0,0,1,42
Ronald Darby,9483,CB,JAX,13,4,0,15,0,0,4,0,41
Jordan Phillips,9485,DI,BUF,9,1,0,4,2,1,0,0,6
Chris Conley,9509,WR,SF,2,0,0,28,0,0,0,0,1
Jordan Hicks,9517,LB,CLV,12,19,0,8,4,0,3,2,53
Danielle Hunter,9521,ED,HST,17,7,2,13,13,0,0,12,25
Carl Davis Jr.,9523,DI,WAS,3,2,0,32,0,0,0,0,2
Angelo Blackson,9533,DI,ARZ,1,0,0,1,0,0,0,0,1
Za'Darius Smith,9555,ED,DET,17,5,0,11,7,0,0,10,20
Kwon Alexander,9557,LB,DET,5,6,1,11,1,0,0,0,8
Grady Jarrett,9570,DI,ATL,17,13,0,2,9,0,0,4,35
Bobby McCain,9578,S,MIN,2,2,0,18,0,0,0,0,2
Michael Burton,9601,FB,DEN,2,0,0,10,0,0,0,0,0
Quandre Diggs,9633,S,TEN,8,4,0,31,0,0,0,0,37
Rakeem Nunez-Roches,9650,DI,NYG,15,25,0,21,3,0,0,3,26
Neville Hewitt,9836,LB,HST,12,18,1,13,1,1,1,0,32
Troy Hill,9881,CB,TB,6,5,0,30,0,0,1,0,27
DeShawn Williams,9891,DI,CAR,12,3,0,5,3,0,0,1,15
Alex Singleton,9994,LB,DEN,3,11,0,10,1,1,0,0,18
T.Y. McGill,10156,DI,CLV,2,1,0,8,1,0,0,0,2
Efe Obada,10235,ED,WAS,6,1,0,32,0,0,0,0,3
Joey Bosa,10637,ED,LAC,14,7,2,27,10,0,0,5,14
Jalen Ramsey,10639,CB,MIA,17,18,0,17,3,2,5,1,40
DeForest Buckner,10641,DI,IND,12,20,0,14,7,0,0,7,33
Leonard Floyd,10643,ED,SF,17,8,1,28,7,0,0,11,23
Eli Apple,10644,CB,LAC,3,0,0,27,0,0,1,0,2
Sheldon Rankins,10646,DI,CIN,7,5,0,7,0,0,0,1,12
Shaq Lawson,10653,ED,CAR,1,0,0,5,0,0,0,0,0
Artie Burns,10659,CB,SEA,2,1,0,29,0,0,2,0,3
Kenny Clark,10661,DI,GB,17,12,0,12,4,0,0,1,25
