player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Mitch Trubisky,11757,QB,PIT,3,3,1,25,1,24,0,0,0,0,0,37,12.3
Jacoby Brissett,10725,QB,WAS,3,3,2,32,0,12,0,0,0,0,1,20,6.7
Tyler Goodson,101659,HB,GB,1,3,1,12,0,4,9,1,1,4,1,2,0.7
Mason Kinsey,115664,WR,TEN,3,3,1,31,0,11,77,8,10,11,0,18,6.0
Michael Burton,9601,FB,DEN,3,3,3,10,0,5,0,0,1,3,0,12,4.0
Matt Barkley,7880,QB,BUF,2,3,0,4,1,0,0,0,0,3,0,-2,-0.7
C.J. Stroud,129759,QB,HST,3,3,0,13,0,4,0,0,0,1,0,5,1.7
Case Keenum,7323,QB,HST,1,3,0,13,0,-1,0,0,0,3,0,-3,-1.0
Russell Wilson,7077,QB,DEN,2,3,1,10,1,17,0,0,0,1,0,25,8.3
Aaron Shampklin,148900,HB,LAC,1,3,1,27,0,11,0,0,0,3,0,10,3.3
Trestan Ebner,57159,HB,CHI,1,3,0,6,0,4,0,0,0,3,0,9,3.0
Chris Oladokun,40364,QB,KC,3,2,2,16,1,30,0,0,0,0,0,37,18.5
Shane Buechele,12659,QB,KC,3,2,1,16,1,15,0,0,0,1,1,14,7.0
Anthony Schwartz,84135,WR,CLV,3,2,0,8,1,7,40,5,12,7,0,2,1.0
Brian Hill,11911,HB,SF,1,2,0,28,0,3,9,1,2,3,0,2,1.0
Colt McCoy,5609,QB,ARZ,2,2,1,1,0,6,0,0,0,0,0,11,5.5
James Conner,11860,HB,ARZ,1,2,0,1,0,9,0,0,0,2,0,15,7.5
E.J. Perry,60349,QB,HST,1,2,0,13,0,-1,0,0,0,2,0,-3,-1.5
Tyler Huntley,46448,QB,BLT,1,2,0,3,0,9,0,0,0,0,0,13,6.5
Nate Sudfeld,10821,QB,DET,3,2,1,11,0,1,0,0,0,2,0,0,0.0
John Wolford,46454,QB,TB,2,2,0,30,0,2,0,0,0,0,0,2,1.0
Parker Washington,129799,WR,JAX,3,2,0,15,0,2,31,2,3,4,0,1,0.5
