player,player_id,position,team_name,player_game_count,attempts,completion_percent,completions,first_downs,franchise_id,interceptions,qb_rating,sacks,touchdowns,yards,ypa
Tyler Shough,83537,QB,TEXAS TECH,6,140,59.3,83,54,315,3,88.1,9,6,1050,7.5
Evan Simon,129906,QB,RUTGERS,8,137,57.7,79,39,278,6,65.3,11,4,777,5.7
Jason Bean,83529,QB,KANSAS,9,135,64.4,87,60,198,4,117.5,4,14,1280,9.5
Conner Weigman,158683,QB,TEXAS A&M,5,132,55.3,73,46,312,0,96.7,9,8,896,6.8
Will Howard,122599,QB,KANSAS ST,5,132,62.9,83,56,199,2,119.6,3,13,1224,9.3
Henry Colombi,60583,QB,MARSHALL,7,129,72.9,94,45,214,4,95.6,20,6,935,7.2
Landry Lyddy,156581,QB,LA TECH,7,126,65.1,82,30,208,4,76.3,5,3,763,6.1
Brock Domann,102351,QB,LOUISVILLE,8,123,53.7,66,39,210,5,67.3,7,3,866,7.0
Ethan Hampton,145858,QB,N ILLINOIS,4,122,59.0,72,42,254,6,77.1,6,7,796,6.5
Jeff Undercuffler,78501,QB,AKRON,6,121,57.9,70,36,102,5,74.1,12,5,791,6.5
Austin Smith,145763,QB,E MICHIGAN,7,121,57.0,69,42,160,4,79.2,10,6,779,6.4
Logan Fife,128176,QB,FRESNO ST,5,121,69.4,84,46,169,6,76.1,12,2,908,7.5
Tucker Gleason,122475,QB,TOLEDO,8,118,46.6,55,44,316,3,82.3,11,8,832,7.1
Katravis Marsh,123289,QB,USF,5,116,52.6,61,40,327,2,88.8,6,7,835,7.2
Brett Gabbert,97404,QB,MIAMI OH,4,116,64.7,75,41,221,0,97.1,13,4,825,7.1
Jake Garcia,143941,QB,MIAMI FL,8,116,59.5,69,38,220,4,80.7,15,5,809,7.0
Chance Nolan,78493,QB,OREGON ST,5,111,59.5,66,46,265,8,78.0,2,7,942,8.5
Logan Bonner,39990,QB,UTAH ST,4,110,56.4,62,33,329,8,64.9,2,6,739,6.7
Treyson Bourguet,158154,QB,W MICHIGAN,4,109,49.5,54,30,347,1,68.6,10,2,601,5.5
Hudson Card,123109,QB,TEXAS,6,109,68.8,75,44,311,1,109.4,7,6,928,8.5
