player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Trey Lowe,84501,HB,OREGON ST,3,66.7,1,265,0,41,2,3,0,46,23.0
Austin Osborne,84502,WR,BOWL GREEN,3,0.0,0,122,0,0,0,3,0,0,
Corey Kiner,86392,HB,CINCINNATI,9,66.7,0,138,0,1,2,3,0,2,1.0
Nathan Bax,89474,TE,ARKANSAS,10,66.7,0,111,0,5,2,3,0,5,2.5
Ulysses Bentley IV,97200,HB,OLE MISS,6,33.3,0,226,0,4,1,3,0,4,4.0
Christian Dremel,97211,WR,RUTGERS,10,33.3,0,278,0,3,1,3,0,3,3.0
Josh Delgado,97320,WR,OREGON,7,33.3,1,264,0,12,1,3,0,12,12.0
Darrell Harding Jr.,98211,WR,DUKE,6,100.0,1,154,0,8,3,3,0,21,7.0
Nay'Quan Wright,98803,HB,FLORIDA,7,33.3,1,163,0,14,1,3,0,14,14.0
Grey Ihu,98824,WR,HAWAII,1,33.3,0,180,0,6,1,3,0,6,6.0
Hudson Henry,99189,TE,ARKANSAS,6,66.7,0,111,0,9,2,3,0,14,7.0
Makiya Tongue,99231,WR,OREGON ST,7,33.3,1,265,0,8,1,3,0,8,8.0
Ryan Montgomery,101063,HB,CINCINNATI,9,100.0,3,138,0,30,3,3,0,69,23.0
Tyler Crowe,101219,HB,BOISE ST,3,66.7,1,120,0,26,2,3,0,30,15.0
Shea Whiting,101336,WR,BOISE ST,6,100.0,0,120,1,2,3,3,0,1,0.3
Rahmir Johnson,101655,HB,NEBRASKA,8,33.3,0,238,0,7,1,3,0,7,7.0
Nick Kallerup,101679,TE,MINNESOTA,12,66.7,2,225,0,16,2,3,1,22,11.0
Dane Kinamon,104192,WR,AIR FORCE,4,66.7,1,101,0,80,2,3,1,88,44.0
Christopher Mottillo,109441,TE,USF,10,100.0,2,327,0,20,3,3,1,37,12.3
Nasjzae Bryant-Lelei,111818,HB,HAWAII,9,100.0,1,180,0,8,3,3,0,15,5.0
Christian Wortham,121446,WR,S ALABAMA,3,33.3,0,288,0,-3,1,3,0,-3,-3.0
Corey Wren,122427,HB,TCU,5,66.7,0,305,0,2,2,3,0,2,1.0
Daniel Hishaw Jr.,122562,HB,KANSAS,5,100.0,2,198,0,73,3,3,1,95,31.7
Will Swanson,122620,TE,KANSAS ST,5,66.7,1,199,0,23,2,3,0,28,14.0
Kevin Bauman,122893,TE,NOTRE DAME,3,100.0,2,258,0,22,3,3,0,44,14.7
Jaylon Barden,123002,WR,PITTSBURGH,7,100.0,1,268,0,17,3,3,0,19,6.3
Jackson Hensley,123388,WR,WAKE,6,33.3,1,339,0,15,1,3,0,15,15.0
Kejon Owens,123640,HB,FIU,6,100.0,1,166,0,9,3,3,0,20,6.7
Tyler Savage,123832,WR,E CAROLINA,7,33.3,1,156,0,24,1,3,0,24,24.0
Kendall Milton,124031,HB,GEORGIA,10,100.0,1,173,0,35,3,3,0,47,15.7
Jack Jancek,124283,WR,TENNESSEE,4,100.0,2,307,0,22,3,3,0,44,14.7
Kahleil Jackson,124381,WR,FLORIDA,2,66.7,2,163,0,23,2,3,0,43,21.5
James Della Pesca,125322,TE,TEMPLE,9,33.3,1,306,0,10,1,3,0,10,10.0
Cole Wright,128143,WR,BOISE ST,5,66.7,2,120,0,47,2,3,0,59,29.5
Jay Rudolph,128313,TE,S DIEGO ST,8,33.3,1,284,0,9,1,3,0,9,9.0
Talyn Shettron,128693,WR,OKLA STATE,3,66.7,1,262,0,16,2,3,1,21,10.5
Reggie Love III,129418,HB,ILLINOIS,12,100.0,0,187,0,5,3,3,0,9,3.0
Ky Thomas,129669,HB,KANSAS,8,100.0,0,198,0,2,3,3,0,4,1.3
Sevion Morrison,129705,HB,KANSAS,8,100.0,2,198,0,13,3,3,0,26,8.7
Jaden Dottin,129774,WR,PENN STATE,1,66.7,0,266,0,9,2,3,0,14,7.0
Jhaylin Embry,130361,WR,BOWL GREEN,6,66.7,1,122,0,35,2,3,0,42,21.0
Griffin Little,130374,TE,BOWL GREEN,5,66.7,1,122,0,13,2,3,0,17,8.5
Drew Cassens,130544,TE,N ILLINOIS,2,100.0,2,254,0,13,3,3,1,19,6.3
LV Bunkley-Shelton,131606,WR,OKLAHOMA,10,33.3,1,261,0,10,1,3,0,10,10.0
David Larkins,133685,TE,APP STATE,12,100.0,2,108,0,17,3,3,0,30,10.0
Jakolbe Baldwin,143984,WR,NC STATE,1,33.3,0,248,0,8,1,3,0,8,8.0
Nick Ragano,144202,WR,WAKE,4,100.0,1,339,0,6,3,3,0,15,5.0
Kroy Myers,144333,WR,NAVY,5,33.3,1,237,0,12,1,3,0,12,12.0
Malik Cooper,144384,WR,TEMPLE,3,0.0,0,306,0,0,0,3,0,0,
Marquis Shoulders,144451,WR,TULSA,4,100.0,3,320,0,11,3,3,1,23,7.7
Quincy Brown,144698,WR,TCU,2,100.0,3,305,0,17,3,3,2,31,10.3
Colby McDonald,144890,HB,MARYLAND,8,100.0,1,215,1,14,3,3,0,23,7.7
Jordan Mosley,145033,WR,MISS STATE,2,66.7,2,227,0,28,2,3,0,43,21.5
Preston Terrell,145118,WR,PURDUE,1,66.7,0,273,0,6,2,3,0,12,6.0
Jay Barry,145215,WR,FIU,5,33.3,0,166,0,4,1,3,0,4,4.0
Zhighlil McMillan,145326,WR,N TEXAS,6,33.3,1,251,0,16,1,3,0,16,16.0
