player,player_id,position,team_name,player_game_count,attempts,first_downs,franchise_id,fumbles,longest,rec_yards,receptions,targets,total_touches,touchdowns,yards,ypa
Kelan Walker,77749,HB,HOUSTON,5,21,6,182,0,30,5,1,1,22,0,105,5.0
Colby Suits,82143,QB,LA MONROE,8,21,6,209,7,25,0,0,0,6,0,131,6.2
Carson Baker,83548,QB,S DIEGO ST,6,21,5,284,1,17,0,0,0,17,1,35,1.7
Cade Barnard,83625,FB,ARMY,10,21,4,114,0,36,0,0,1,21,1,110,5.2
Chris Brooks,83644,HB,CAL,3,21,4,130,0,15,17,4,4,25,1,65,3.1
Devin Brumfield,83788,HB,UTAH,4,21,7,328,0,22,26,5,5,26,1,85,4.0
Onasis Neely,97435,HB,TEMPLE,3,21,5,306,0,10,0,0,0,21,1,65,3.1
John Rhys Plumlee,97602,QB,OLE MISS,6,21,5,226,1,37,6,1,2,21,0,97,4.6
Graham Mertz,97994,QB,WISCONSIN,6,21,6,349,4,24,0,0,0,9,0,98,4.7
Brandon Lewis,90823,WR,AIR FORCE,5,20,9,101,0,26,79,9,19,29,1,180,9.0
Tanner Morgan,55239,QB,MINNESOTA,7,20,3,225,3,16,0,0,0,11,0,45,2.3
Zach Kahn,40571,HB,MIAMI OH,3,20,7,221,0,17,5,2,2,22,2,98,4.9
Anthony Russo,40108,QB,TEMPLE,3,20,8,306,2,10,0,0,0,17,2,52,2.6
Mike Collins,60549,QB,RICE,3,20,6,275,3,14,0,0,0,14,0,61,3.1
Gunnar Watson,83570,QB,TROY,9,20,3,318,5,10,0,0,0,14,0,46,2.3
Mark-Antony Richards,99155,HB,AUBURN,3,20,4,115,0,14,0,0,0,20,0,76,3.8
Chase Griffin,100579,QB,UCLA,4,20,4,324,5,18,0,0,0,14,0,40,2.0
Isaiah Jacobs,129518,HB,MARYLAND,4,19,2,215,0,11,22,2,3,21,0,61,3.2
Gavin Hardison,100827,QB,UTEP,7,19,3,330,5,14,0,0,0,15,0,34,1.8
Calvin Camp,61202,HB,CHARLOTTE,6,19,6,136,1,21,0,0,0,19,1,86,4.5
Tyger Goslin,77634,QB,NAVY,4,19,1,237,1,10,0,0,0,15,0,61,3.2
Lucious Stanley,57439,HB,UAB,7,19,5,321,0,46,37,3,3,22,2,114,6.0
Taulia Tagovailoa,97271,QB,MARYLAND,4,19,9,215,1,39,0,0,0,9,2,131,6.9
Edward Saydee,97300,HB,TEMPLE,4,19,5,306,0,14,0,0,3,19,0,67,3.5
Caullin Lacy,121426,WR,S ALABAMA,11,19,6,288,0,21,96,12,15,31,0,114,6.0
George Holani,72154,HB,BOISE ST,3,19,6,120,0,34,52,7,7,26,1,108,5.7
Elijah Robinson,131507,HB,AIR FORCE,2,19,5,101,0,50,0,0,0,19,0,128,6.7
Zach Charbonnet,97630,HB,MICHIGAN,5,19,4,222,0,70,41,6,7,25,1,124,6.5
Trey Potts,101647,HB,MINNESOTA,5,19,7,225,0,36,20,4,7,23,1,121,6.4
Roydell Williams,123939,HB,ALABAMA,4,19,6,103,1,11,0,0,0,19,1,71,3.7
Payton Thorne,101629,QB,MICH STATE,4,19,4,223,2,38,0,0,0,13,1,98,5.2
Skylar Thompson,60417,QB,KANSAS ST,3,19,9,199,4,13,0,0,0,15,3,57,3.0
Matt McDonald,60350,QB,BOWL GREEN,5,19,3,122,1,24,0,0,0,2,1,101,5.3
Tim Baldwin Jr.,129432,HB,INDIANA,3,19,4,190,0,26,0,0,0,19,0,124,6.5
Peny Boone,129498,HB,MARYLAND,4,19,5,215,1,18,21,2,3,21,0,85,4.5
Mac Jones,60323,QB,ALABAMA,10,18,11,103,2,14,0,0,0,13,1,43,2.4
Jordan Wilmore,100585,HB,UTAH,2,18,3,328,0,21,0,0,0,18,0,54,3.0
Tony Mathis Jr.,99481,HB,W VIRGINIA,1,18,5,343,0,8,0,0,0,18,1,55,3.1
Dee Baker,100838,HB,SO MISS,9,18,3,296,1,36,5,2,3,20,0,87,4.8
Kobe Pace,122155,HB,CLEMSON,6,18,5,140,0,16,26,5,5,23,0,75,4.2
Isaiah Holiness,74501,WR,S JOSE ST,6,18,1,285,0,9,83,9,12,27,0,58,3.2
Kadyn Roach,97638,HB,LA MONROE,6,18,3,209,1,30,45,7,7,25,1,112,6.2
DJ Smith,130479,HB,E MICHIGAN,5,18,0,160,0,4,26,3,4,21,0,18,1.0
Rashad Amos,124224,HB,S CAROLINA,3,18,5,289,1,34,13,3,4,21,0,99,5.5
Isaiah Azubuike,97297,HB,ARK STATE,6,18,3,113,0,25,0,1,1,19,1,57,3.2
Kyric McGowan,61544,WR,NWESTERN,7,18,8,256,0,24,333,30,40,48,1,122,6.8
Chadarius Townsend,61105,HB,TEXAS TECH,5,18,5,315,0,36,23,3,4,21,1,99,5.5
Kevaris Thomas,83593,QB,W KENTUCKY,3,18,3,346,2,13,0,0,0,15,1,64,3.6
Javin Myers,57273,HB,LA MONROE,6,17,5,209,0,11,21,5,5,22,0,70,4.1
Artice Hobbs IV,57142,HB,ARMY,9,17,9,114,0,16,11,2,4,19,0,106,6.2
Ron Cook Jr.,97070,HB,BUFFALO,5,17,3,126,0,18,22,2,2,19,0,77,4.5
Jordan Waters,97754,HB,DUKE,7,17,3,154,0,70,0,0,0,17,2,93,5.5
Anderson Castle,122234,HB,APP STATE,4,17,5,108,0,49,0,0,0,17,0,104,6.1
Charles Strong,83775,HB,TROY,2,17,6,318,0,17,0,0,0,17,1,74,4.4
Mason Garcia,123811,QB,E CAROLINA,3,17,8,156,2,23,0,0,0,11,1,104,6.1
Jack Abraham,40557,QB,SO MISS,5,17,6,296,2,35,0,0,0,12,0,102,6.0
Kadarius Toney,61245,WR,FLORIDA,10,17,5,163,1,50,824,62,76,79,1,146,8.6
Tate Whatley,83556,QB,SO MISS,4,17,5,296,2,19,-19,1,1,15,4,59,3.5
Frank Peasant,121817,HB,MIDDLE TN,7,17,4,224,0,20,6,4,5,21,1,74,4.4
Larry McCammon III,97309,HB,FAU,2,17,3,165,0,35,9,2,3,19,0,79,4.6
Mason Stokke,42627,FB,WISCONSIN,6,17,5,349,0,6,44,7,10,24,1,41,2.4
Jafar Armstrong,61555,HB,NOTRE DAME,6,17,1,258,0,9,38,3,3,20,1,8,0.5
Treylon Burks,99218,WR,ARKANSAS,9,17,7,111,0,18,811,50,65,65,0,84,4.9
Chris Evans,27303,HB,MICHIGAN,6,16,4,222,1,16,87,9,10,25,1,73,4.6
CJ Williams,57323,HB,NAVY,7,16,3,237,0,26,80,8,16,24,0,107,6.7
JuTahn McClain,124071,HB,KENTUCKY,6,16,4,202,0,17,0,0,0,16,0,62,3.9
Davion Johnson,57295,HB,MIAMI OH,2,16,2,221,0,31,36,3,5,19,0,68,4.3
Khalil Shakir,84140,WR,BOISE ST,6,16,9,120,1,28,634,46,66,62,0,151,9.4
Trey Bess III,130448,HB,E MICHIGAN,5,16,5,160,3,27,0,0,0,16,0,105,6.6
Robert Burns,57293,HB,MIAMI FL,5,16,3,220,0,13,26,2,2,18,0,63,3.9
