player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Leighton Vander Esch,50950,LB,DAL,1,5,0,9,0,0,0,0,8
Travin Howard,50959,LB,LA,3,4,0,26,0,1,1,0,6
Ja'Whaun Bentley,50966,LB,NE,1,0,0,19,0,0,0,0,2
Tyrel Dodson,51045,LB,BUF,1,0,0,4,0,0,0,0,0
Jahlani Tavai,51055,LB,NE,1,0,0,19,0,0,0,0,0
Ben Niemann,51099,LB,KC,3,0,0,16,0,0,0,0,4
Taylor Rapp,51172,S,LA,1,2,0,26,0,0,0,0,4
Minkah Fitzpatrick,51206,S,PIT,1,2,0,25,0,0,0,0,4
Fred Warner,51222,LB,SF,3,7,1,28,0,0,1,0,13
Armani Watts,51264,S,KC,2,3,0,16,0,0,0,0,4
Mike Edwards,51282,S,TB,2,0,0,30,0,1,0,0,10
Terrell Edmunds,51334,S,PIT,1,0,0,25,0,0,0,0,6
Amani Hooker,51378,S,TEN,1,3,0,31,0,1,1,0,4
Marcus Epps,51391,S,PHI,1,1,0,24,0,0,0,0,2
Roderic Teamer,51405,S,LV,1,0,0,23,0,0,0,0,4
Jaquan Johnson,51433,S,BUF,1,1,0,4,0,0,0,0,3
Dorian O'Daniel,51487,LB,KC,1,0,0,16,0,0,0,0,0
Dre Greenlaw,51503,LB,SF,3,5,0,28,1,0,0,0,10
Tarron Jackson,54410,ED,PHI,1,0,0,24,0,0,0,0,1
Marco Wilson,55592,CB,ARZ,1,1,0,1,0,0,0,0,1
Tre Norwood,55675,S,PIT,1,0,0,25,0,0,1,0,2
Darious Williams,55724,CB,LA,4,5,0,26,0,0,2,0,17
Eric Stokes,55912,CB,GB,1,0,0,12,0,0,0,0,3
Nate Hobbs,55948,CB,LV,1,2,0,23,0,0,1,0,3
Ambry Thomas,56058,CB,SF,2,2,0,28,0,0,1,0,14
Keisean Nixon,56167,CB,LV,1,0,0,23,0,0,0,0,0
Elijah Molden,56290,CB,TEN,1,1,0,31,0,0,0,0,0
A.J. Epenesa,56369,ED,BUF,2,0,0,4,0,0,1,0,1
Patrick Johnson,56460,LB,PHI,1,0,0,24,0,0,0,0,0
Cam Sample,56462,ED,CIN,3,0,0,7,0,0,0,0,2
T.J. Slaton,56597,DI,GB,1,0,0,12,0,0,0,0,1
Milton Williams,56682,DI,PHI,1,1,0,24,0,0,0,0,4
Willie Gay,57987,LB,KC,3,5,1,16,1,0,2,0,9
Joe Tryon-Shoyinka,58272,ED,TB,2,0,0,30,0,0,0,0,1
Tyler Shelvin,58438,DI,CIN,2,0,0,7,0,0,0,0,0
Dennis Gardeck,66928,ED,ARZ,1,0,0,1,0,0,0,0,0
Greg Rousseau,76889,ED,BUF,2,0,0,4,0,0,0,0,3
Zaven Collins,77190,LB,ARZ,1,0,0,1,0,0,0,0,0
Tre'von Moehrig,77847,S,LV,1,0,0,23,0,0,0,0,2
Nick Bolton,81322,LB,KC,3,7,0,16,0,0,0,0,11
Micah Parsons,81360,LB,DAL,1,4,0,9,0,0,0,0,6
Ernest Jones,81399,LB,LA,2,1,0,26,2,0,1,1,5
Christian Barmore,82198,DI,NE,1,1,0,19,0,0,0,0,2
Bobby Brown III,82429,DI,LA,1,0,0,26,0,0,0,0,0
Talanoa Hufanga,83903,S,SF,2,0,0,28,0,0,0,0,0
Kyle Dugger,90621,S,NE,1,1,0,19,0,0,0,0,3
Michael Hoecht,108840,DI,LA,1,1,0,26,0,0,0,0,1
