player,player_id,position,team_name,player_game_count,caught_percent,first_downs,franchise_id,fumbles,longest,receptions,targets,touchdowns,yards,yards_per_reception
Pat Bryant,144800,WR,DEN,3,66.7,7,10,0,29,8,12,0,110,13.8
Jackson Meeks,146714,WR,DET,4,91.7,9,11,0,68,11,12,2,176,16.0
Kevin Austin Jr.,84345,WR,NO,3,63.6,4,20,0,17,7,11,0,76,10.9
Jahdae Walker,175944,WR,CHI,3,72.7,7,6,0,16,8,11,2,98,12.3
Oronde Gadsden II,144046,TE,LAC,4,63.6,3,27,0,25,7,11,1,80,11.4
K.J. Osborn,23503,WR,WAS,3,45.5,1,32,0,9,5,11,0,35,7.0
John Jiles,180159,WR,NE,3,81.8,6,19,0,26,9,11,0,98,10.9
Frank Gore Jr.,121457,HB,BUF,3,100.0,5,4,1,21,11,11,0,109,9.9
Lucky Jackson,29557,WR,MIN,3,45.5,3,18,0,17,5,11,0,49,9.8
Jamari Thrash,97399,WR,CLV,3,81.8,6,8,0,19,9,11,0,94,10.4
Quentin Skinner,122579,WR,NYJ,3,72.7,6,22,0,27,8,11,1,114,14.3
Troy Franklin,146567,WR,DEN,3,81.8,6,10,0,27,9,11,2,90,10.0
Tre Harris,122676,WR,LAC,3,60.0,5,27,0,34,6,10,0,85,14.2
Tyrell Shavers,61107,WR,BUF,3,60.0,5,4,0,58,6,10,1,123,20.5
Trenton Irwin,48080,WR,JAX,3,60.0,5,15,0,16,6,10,1,69,11.5
Tim Jones,61669,WR,MIN,3,60.0,3,18,1,28,6,10,0,73,12.2
Carter Runyon,177002,TE,LV,3,60.0,4,23,0,20,6,10,0,74,12.3
Myles Price,123155,WR,MIN,3,50.0,2,18,0,15,5,10,1,38,7.6
Sal Cannella,60853,TE,CLV,3,90.0,2,8,0,19,9,10,0,67,7.4
Javon Baker,123904,WR,NE,3,10.0,1,19,0,13,1,10,0,13,13.0
D'Wayne Eskridge,29573,WR,MIA,3,40.0,4,17,0,27,4,10,1,74,18.5
Blake Watson,84363,HB,DEN,3,100.0,2,10,0,17,10,10,0,50,5.0
Michael Gallup,26075,WR,WAS,3,40.0,2,32,0,15,4,10,0,40,10.0
Erik Ezukanma,78148,WR,MIA,3,60.0,2,17,0,17,6,10,0,45,7.5
Terrace Marshall Jr.,84271,WR,PHI,2,70.0,4,24,0,17,7,10,0,66,9.4
KeAndre Lambert-Smith,129789,WR,LAC,4,40.0,4,27,0,37,4,10,1,109,27.3
Montrell Washington,64310,WR,NYG,3,70.0,6,21,0,29,7,10,0,105,15.0
