player,player_id,position,team_name,player_game_count,assists,forced_fumbles,franchise_id,hits,interceptions,pass_break_ups,sacks,tackles
Dicaprio Bootle,42913,CB,DET,2,0,0,11,0,0,0,0,3
Khalid Kareem,42993,ED,ATL,2,0,0,2,1,0,0,1,3
Jonathon Cooper,43021,ED,DEN,2,1,0,10,0,0,0,1,0
Charvarius Ward,43034,CB,IND,1,0,0,14,0,0,0,0,0
Brandon Jones,43049,S,DEN,2,0,0,10,0,0,0,0,2
McTelvin Agim,43069,DI,CIN,3,0,0,7,0,0,0,1,2
Devin White,43089,LB,LV,3,1,0,23,0,0,0,0,2
Jeremy Chinn,43179,S,LV,2,0,0,23,0,1,0,0,0
Mack Wilson Sr.,43190,LB,ARZ,1,0,0,1,1,0,0,0,0
Joe Bachie,43250,LB,IND,2,3,0,14,1,1,0,0,2
Damar Hamlin,43291,S,BUF,3,2,0,4,0,0,0,0,3
Myles Bryant,43336,S,HST,3,1,0,13,0,0,0,0,10
Christian Holmes,43393,CB,CLV,2,0,0,8,0,0,1,0,1
Nick Niemann,43500,LB,HST,3,1,0,13,0,0,0,0,7
William Kwenkeu,43510,LB,BLT,1,0,0,3,0,0,1,0,1
Darrell Baker Jr.,43542,CB,TEN,3,0,0,31,0,0,0,0,1
Ben Stille,43555,DI,MIA,3,2,0,17,1,0,0,0,1
Sam Franklin Jr.,43580,S,DEN,3,2,0,10,0,0,0,0,2
Jake Hansen,43645,LB,HST,3,4,0,13,0,0,0,0,8
Jeffery Simmons,43742,DI,TEN,1,0,0,31,0,0,0,0,1
Cole Christiansen,43856,LB,KC,3,0,0,16,0,0,0,0,10
Derrick Brown,43883,DI,CAR,1,0,0,5,0,0,0,0,0
Timmy Horne,43918,DI,TEN,3,1,0,31,0,0,0,0,6
Tyler Hall,43958,CB,SEA,3,3,0,29,0,0,0,0,3
Pat Jones II,43974,ED,CAR,2,0,0,5,1,0,0,0,1
Bradlee Anae,43982,ED,SF,1,2,0,28,0,0,0,0,0
Benito Jones,44035,DI,MIA,3,0,0,17,0,0,0,1,0
Julian Okwara,44152,ED,CLV,3,0,0,8,1,0,0,2,3
Will Bradley-King,44184,ED,SF,2,0,0,28,1,0,0,0,1
Boogie Basham,44320,ED,CAR,3,1,0,5,1,0,0,0,3
Naquan Jones,44363,DI,LAC,4,3,0,27,0,0,0,0,1
Isaiahh Loudermilk,44416,DI,PIT,3,1,0,25,0,0,0,0,2
Elijah Garcia,44498,DI,NYG,3,2,0,21,0,0,0,0,4
Brian Burns,44522,ED,NYG,2,0,0,21,0,0,0,0,2
