team,season,role,name,source
CHI,2008,oc,Ron Turner,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2008,dc,Bob Babich,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2009,oc,Ron Turner,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2009,dc,Bob Babich,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2010,oc,Mike Martz,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2010,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2011,oc,Mike Martz,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2011,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2012,oc,Mike Tice,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2012,dc,Rod Marinelli,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2013,oc,Aaron Kromer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2013,dc,Mel Tucker,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2014,oc,Aaron Kromer,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2014,dc,Mel Tucker,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2015,oc,Adam Gase,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2015,dc,Vic Fangio,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2016,oc,Dowell Loggains,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2016,dc,Vic Fangio,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2017,oc,Dowell Loggains,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2017,dc,Vic Fangio,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2018,oc,Mark Helfrich,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2018,dc,Vic Fangio,pfr-derived (jchernak96/NFL_Coordinator_Data)
CHI,2019,oc,Mark Helfrich,pfr-derived (jchernak96/NFL_Coordinator_Data)
