team,ret_share,portal_out_share,gone_share,portal_in_yds,qb_ret
Nebraska Cornhuskers,0.4481065012278661,0.24725345741243376,0.30464004135970013,5054.0,0.0
Nevada Wolf Pack,0.3922365988909427,0.07744916820702404,0.5303142329020333,657.0,1.0
New Hampshire Wildcats,0.1523076923076923,0.5476923076923077,0.3,357.0,0.0
New Mexico Lobos,0.573757019586358,0.16353924119983565,0.26270373921380635,969.0,1.0
New Mexico State Aggies,0.3315569638484805,0.17845311824859572,0.4899899179029238,693.0,0.0
Nicholls Colonels,0.1962864721485411,0.3183023872679045,0.4854111405835544,226.0,0.0
Norfolk State Spartans,0.041666666666666664,0.03205128205128205,0.9262820512820513,29.0,0.0
North Alabama Lions,0.06887052341597796,0.4049586776859504,0.5261707988980716,408.0,0.0
North Carolina A&T Aggies,0.8375,0.0,0.1625,0.0,1.0
North Carolina Central Eagles,0.0,0.047337278106508875,0.9526627218934911,0.0,0.0
North Carolina Tar Heels,0.3156873125110288,0.5558496559025939,0.12846303158637729,716.0,0.0
North Dakota Fighting Hawks,0.0,0.21657250470809794,0.783427495291902,0.0,0.0
North Dakota State Bison,0.20831475702184574,0.0,0.7916852429781542,-5.0,0.0
North Texas Mean Green,0.017460863581627385,0.7038534319628419,0.2786857044555307,2946.0,0.0
Northern Arizona Lumberjacks,0.537521815008726,0.006980802792321117,0.45549738219895286,0.0,1.0
Northern Colorado Bears,0.0,0.36784511784511786,0.6321548821548821,0.0,0.0
Northern Illinois Huskies,0.5284816980723414,0.2839506172839506,0.18756768464370804,0.0,0.0
Northern Iowa Panthers,0.0,0.0,1.0,0.0,0.0
Northwestern State Demons,0.6318407960199005,0.01990049751243781,0.3482587064676617,386.0,1.0
Northwestern Wildcats,0.3867842683632157,0.03209947946790052,0.5811162521688837,2746.0,0.0
Notre Dame Fighting Irish,0.44715637043092377,0.06446338899918252,0.4883802405698937,152.0,1.0
Ohio Bobcats,0.11479855371900827,0.1881456611570248,0.6970557851239669,639.0,0.0
Ohio State Buckeyes,0.6711818839830421,0.09450935787405645,0.23430875814290145,1194.0,1.0
Oklahoma Sooners,0.7305787278415016,0.07625130344108447,0.19316996871741396,2759.0,1.0
Oklahoma State Cowboys,0.0,0.7097177563415505,0.29028224365844946,9851.0,0.0
Old Dominion Monarchs,0.16701054562127465,0.7019715726730857,0.1310178817056396,652.0,0.0
Ole Miss Rebels,0.6129514321295143,0.12038190120381902,0.26666666666666666,2540.0,1.0
Oregon Ducks,0.6695947860583735,0.09218853310664021,0.23821668083498632,3134.0,1.0
Oregon State Beavers,0.36687418560880264,0.1326190820906327,0.5005067323005646,593.0,1.0
Penn State Nittany Lions,0.05766270118964311,0.2319104268719384,0.7104268719384185,6125.0,0.0
Pittsburgh Panthers,0.45724217844727694,0.2944380069524913,0.24831981460023175,279.0,1.0
Portland State Vikings,0.7534246575342466,0.025440313111545987,0.22113502935420742,0.0,1.0
Prairie View A&M Panthers,0.0,0.22885572139303484,0.7711442786069652,0.0,0.0
Purdue Boilermakers,0.47451330063902514,0.1291425174617328,0.3963441818992421,887.0,1.0
Rhode Island Rams,0.6153846153846154,0.02564102564102564,0.358974358974359,7.0,1.0
Rice Owls,0.3526923076923077,0.4648076923076923,0.1825,355.0,0.0
Richmond Spiders,0.0,0.13503649635036497,0.864963503649635,0.0,0.0
Robert Morris Colonials,0.0,0.11917098445595854,0.8808290155440415,0.0,0.0
Rutgers Scarlet Knights,0.20314434265907402,0.11376578360980441,0.6830898737311215,2104.0,0.0
SE Louisiana Lions,0.3111413043478261,0.3736413043478261,0.31521739130434784,0.0,0.0
SMU Mustangs,0.573076923076923,0.0743956043956044,0.3525274725274725,2557.0,1.0
Sacramento State Hornets,0.045087196937473414,0.6516376010208422,0.3032752020416844,715.0,0.0
Saint Francis Red Flash,0.0,0.043373493975903614,0.9566265060240964,0.0,0.0
Sam Houston Bearkats,0.5238253915361546,0.10613128957014328,0.3700433188937021,99.0,0.0
Samford Bulldogs,0.0,-0.014354066985645933,1.014354066985646,0.0,0.0
San Diego State Aztecs,0.7930570103247044,0.060152626066137964,0.14679036360915756,433.0,1.0
San José State Spartans,0.09410762113464816,0.7061115169223278,0.1997808619430241,1147.0,0.0
South Alabama Jaguars,0.6113582443653618,0.06479833926453143,0.3238434163701068,24.0,1.0
South Carolina Gamecocks,0.6891230152841668,0.11025374684671316,0.20062323786912004,1025.0,1.0
South Carolina State Bulldogs,0.0,0.0,1.0,0.0,0.0
South Dakota Coyotes,0.0,0.1299165673420739,0.8700834326579261,0.0,0.0
South Dakota State Jackrabbits,0.592959295929593,0.0,0.40704070407040704,883.0,1.0
South Florida Bulls,0.15026635842798272,0.749723590310584,0.10001005126143331,1575.0,0.0
Southeast Missouri State Redhawks,0.08250497017892644,0.279324055666004,0.6381709741550696,224.0,0.0
Southern Illinois Salukis,0.0,0.004048582995951417,0.9959514170040485,0.0,0.0
Southern Jaguars,0.0,0.0695970695970696,0.9304029304029304,0.0,0.0
